module,function,co_emergence,co-presence_jaccard_index,co-presence_FET_p_value,co-presence_FET-odds_ratio
B68,CLPP,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,FBLN1,False,0.07042253521126761,0.39880012840067186,3.6153846153846154
B68,VTN,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,CXCL5,False,0.04285714285714286,0.26988265971316816,inf
B68,SHANK3,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,HOXA1,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,ADAMTSL4,False,0.04285714285714286,0.26988265971316816,inf
B68,DYRK1A,True,0.44594594594594594,5.378808474054327e-06,9.81081081081081
B68,KRTAP111,False,0.04285714285714286,0.26988265971316816,inf
B68,LTBP4,False,0.04285714285714286,0.26988265971316816,inf
B68,EGFL7,False,0.014084507042253521,1.0,0.6811594202898551
B68,NID1,True,0.19230769230769232,0.6382519750965068,1.3636363636363635
B68,ZNF768,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,NLGN3,False,0.014084507042253521,1.0,0.6811594202898551
B68,ATN1,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,LTBP1,True,0.44594594594594594,5.378808474054327e-06,9.81081081081081
B68,EMILIN1,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,SGTA,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,HSD3B7,False,0.16666666666666666,1.0,1.1403508771929824
B68,TRIM42,False,0.04285714285714286,0.26988265971316816,inf
B68,OTX1,True,0.4177215189873418,0.0017356797760120688,3.864864864864865
B68,GFI1B,True,0.5131578947368421,2.1911446881832196e-06,8.806451612903226
B68,LCE1A,False,0.04285714285714286,0.26988265971316816,inf
B68,LOXL1,False,0.04285714285714286,0.26988265971316816,inf
B68,PLSCR4,False,0.04285714285714286,0.26988265971316816,inf
B68,FAM110A,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,CAVIN1,False,0.04285714285714286,0.26988265971316816,inf
B68,ZFP41,False,0.05714285714285714,0.14483957499737746,inf
B68,ZNF764,False,0.05714285714285714,0.14483957499737746,inf
B68,BAG6,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,FBLN5,False,0.11428571428571428,0.020466550843026572,inf
B68,DNAJC10,False,0.014084507042253521,1.0,0.6811594202898551
B68,FN1,True,0.19230769230769232,0.6382519750965068,1.3636363636363635
B68,FBN2,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,ZNF747,False,0.014084507042253521,1.0,0.6811594202898551
B68,ST14,False,0.05714285714285714,0.14483957499737746,inf
B68,ITM2B,False,0.05714285714285714,0.14483957499737746,inf
B68,ZNF460,False,0.014084507042253521,1.0,0.6811594202898551
B68,MEOX2,True,0.5131578947368421,2.1911446881832196e-06,8.806451612903226
B68,HSPG2,True,0.19230769230769232,0.6382519750965068,1.3636363636363635
B68,NUFIP2,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,LAMA5,False,0.0136986301369863,0.3026120577260262,0.21739130434782608
B68,IGFBP6,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,ZNF324,False,0.014084507042253521,1.0,0.6811594202898551
B68,LOX,False,0.04285714285714286,0.26988265971316816,inf
B68,VCAN,True,0.19230769230769232,0.6382519750965068,1.3636363636363635
B68,CACNA1A,False,0.2702702702702703,0.009607905597096903,4.4
B68,LCE3A,False,0.2702702702702703,0.009607905597096903,4.4
B68,ZNF408,False,0.027777777777777776,1.0,0.6764705882352942
B68,ZNF627,False,0.014084507042253521,1.0,0.6811594202898551
B68,MRPL12,False,0.04285714285714286,0.26988265971316816,inf
B68,MFAP5,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,LTBP3,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,MFAP4,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,ASPH,False,0.0547945205479452,1.0,0.9090909090909091
B68,FXR1,False,0.04285714285714286,0.26988265971316816,inf
B68,LINGO1,False,0.04285714285714286,0.26988265971316816,inf
B68,IGFL3,False,0.05714285714285714,0.14483957499737746,inf
B68,ELN,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,LCE1C,False,0.2702702702702703,0.009607905597096903,4.4
B68,LCE2C,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
