id,NID1,CLPP,EMILIN1,ST14,ATN1,EGFL7,OCLN,LTBP1,FBXW5,GFI1B,HSD3B7,LAMA5,MFAP5,FN1,IGFBP6,LTBP4,ZNF768,MEOX2,DDIAS,ELN,ZFP41,ASPH,ADAMTSL4,KRTAP11-1,LCE1A,FXR1,HTRA1,ZNF408,BAG6,ANAPC11,COL8A1,IGFL3,TFAP2C,LCE2C,ZNF460,EFEMP2,ZNF627,ZNF747,LOX,CXCL5,MAGEA3,FBLN5,TIMP3,TGFB1,LOXL1,FBLN1,MFAP4,LCE3D,LTBP3,MFAP2,SHANK3,FAM110A,ZNF764,ZNF324,CREB5,RERE,ZNF136,RECQL4,DYRK1A,ECM1,KRTAP19-2,ACAN,ZNF444,VCAN,MFAP3,CACNA1A,SGTA,PLSCR4,ZBTB9,LCE3A,FBN1,FBN2,MFAP1,CYSRT1,ZNF696,MRPL12,NUFIP2,LCE1C,FBLN7,HOXA1,ITM2B,PLSCR1,TRIM42,DNAJC10,HSPA5,NLGN3,ARMS2,VTN,ATXN7,LINGO1,PRNP,NOS3,OTX1,PROP1,CAVIN1,HSPG2
NP001348916.1_10090_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001008587.1_7955_86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001153830.1_7955_87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002939376.2_8364_89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001157824.1_10090_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001069517.1_9913_91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP058634.4_9606_92,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0
NP001103991.1_7955_97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP009305317.1_7955_98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002936872.1_8364_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP025004920.1_9031_101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001075186.1_9913_102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001034437.1_9606_103,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0
NP666127.2_10090_104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
